title,sponsors,link,Video,Website,File Url,prizes,Mlh Points,Mlh Hardware Lab,Please Have One Engineer On Your Team Answer The Following 4 Questions: What Year Are You?,What Kind Of Job Are You Looking For Next?,What Factors Are Most Important To You In A Job Or Internship?,"If You've Ever Researched A Job/Internship Outside Of What's On A Job Description, What Were You Looking To Learn?",Submitter Screen Name,Team Member 1 Screen Name,...,,,,table
EyeMessage,"Technically Difficult by Constant Contact, Best Web App by Vitech, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan, Best Domain Name from Domain.com, Best Open Source Hack by Red Hat",http://wichacks2017.devpost.com/submissions/68272-eyemessage,,https://github.com/brookewerner/Eye-Message,,"Best Open Source Hack by Red Hat, Technically Difficult by Constant Contact, Best Web App by Vitech, Best Domain Name from Domain.com, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan",University of Rochester,,Undergrad Sophomore,Internship,"How much the work interests me, what I would be learning, and the opportunity to gain new experiences",The company culture,brookewerner,alanazak8,,,,,1
Quest,"Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan, Rookie Award by Bank of America, Best Women & Gender Issues Hack by Viacom",http://wichacks2017.devpost.com/submissions/68301-quest,,,,"Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan, Rookie Award by Bank of America, Best Women & Gender Issues Hack by Viacom",Rochester Institute of Technology,,Undergrad 1st yr,Internship,,,kxn5733,JusticePy,icurry,,,,2
DanceParty,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best Teaching Programming Hack by Hubspot, Best Open Source Hack by Red Hat, Rookie Award by Bank of America",http://wichacks2017.devpost.com/submissions/68307-danceparty,"The user is given options in the game that will be combined at the end to create a fun, simulated dance party. Lines of pseudo code are displayed on the screen to show the programming concepts that are being taught. We chose this type of game because we were inspired to try to teach children the very basics of programming. We looked back to when we each first learned how to program, even though some of us are newer at programming and others are more experienced, we could agree on the first things that we learned. There are concepts that are used in programming no matter what language is being used and understanding these are important to programming, so using if statements, booleans, and integers the user creates a party.",,,,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Best Teaching Programming Hack by Hubspot, Best Open Source Hack by Red Hat, Rookie Award by Bank of America",Rochester Intitute of Technology,,Undergrad Junior,Internship,I like being able to experience what I could be doing in the real world after I graduate.,I've looked for what the environment was like working at the company.,Sandra-Lovejoy,rxb9323,lxw3831,,,3
ReDefine,Rookie Award by Bank of America,http://wichacks2017.devpost.com/submissions/68310-redefine,,,,Rookie Award by Bank of America,"Rochester Institute of Technology, College of Brockport, Immaculate Heart Academy(highschool)",Dell XPS Laptop,Undergrad 1st yr,Internship,"Learning new concepts, languages and gaining the most experience out of it. Networking with others, and just overall becoming stronger in my field as an individual and team member.","The place at which the internship is at, and the reviews of work space.",harshapillai98,team 2,3,,,,4
Budget Calculator,"Best UI by New Relic, Best Open Source Hack by Red Hat, Best Hack for Social Good by JP Morgan, Best Web App by Vitech",http://wichacks2017.devpost.com/submissions/68293-budget-calculator,,,,,Rochester Institute of Technology,Dell XPS Laptop,Other,Full-time,"UI Design, UX Design, Visual Design, Front-End",,njain21,Jiagon,mcs2515,,,,5
Dog Breed Prediction,"Most Innovative Hack by Intuit, Best Domain Name from Domain.com",http://wichacks2017.devpost.com/submissions/68305-dog-breed-prediction,,,,"Best Domain Name from Domain.com, Most Innovative Hack by Intuit",RIT,,Masters 2nd yr,Full-time,,,adrianasejfia,2,,,,,6
Butterflies,"Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan, Best Teaching Programming Hack by Hubspot, Rookie Award by Bank of America",http://wichacks2017.devpost.com/submissions/68306-butterflies,,,,"Best Teaching Programming Hack by Hubspot, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Hack for Social Good by JP Morgan, Rookie Award by Bank of America","RIT, School of the Arts, Our Lady of Mercy",,Undergrad 1st yr,Internship,Having a good learning experience to help with future endeavors.,I look for the companies goals and future outlook.,dbarkins16,vannozzil,jxp3224869,mercyskatermrw,sylviagriffin9240,,7
Codeversation,"Technically Difficult by Constant Contact, Best Web App by Vitech, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Teaching Programming Hack by Hubspot, Rookie Award by Bank of America",http://wichacks2017.devpost.com/submissions/68302-codeversation,,https://github.com/ntc27/WICHack,,"Technically Difficult by Constant Contact, Best Web App by Vitech, Best Teaching Programming Hack by Hubspot, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Rookie Award by Bank of America","University of Waterloo, Cornell University, Rochester Academy",,Other,Internship,Good working environment,Web development,ntc27,tina_q,runqi-l,jacoles,CaptainQuirk42,,8
Hello World,"Best Web App by Vitech, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT , Best Domain Name from Domain.com, Best Teaching Programming Hack by Hubspot, Best Open Source Hack by Red Hat",http://wichacks2017.devpost.com/submissions/68012-hello-world,,https://github.com/KatWeis/HelloWorldv2,,"Best Open Source Hack by Red Hat, Best Web App by Vitech, Best Domain Name from Domain.com, Best Teaching Programming Hack by Hubspot, Most Innovative Hack by Intuit, Best UI by New Relic, Most Novel by Women in Computing at RIT ",Rochester Institute of Technology,,,,,,abernardo97,Catherine-N,jxc6421,anr6921,KatWeis,,9
TimeOut,"Best Women & Gender Issues Hack by Viacom, Best Hardware Hack by Liberty Mutual",http://wichacks2017.devpost.com/submissions/68315-timeout,,https://github.com/laurenmcgrathwork/safteyWatch.git,,"Best Women & Gender Issues Hack by Viacom, Best Hardware Hack by Liberty Mutual",Ithaca College,Pebble Time,Undergrad Senior,Full-time,I would like to work with a supportive team where I can contribute and learn. Working on exciting projects would be an added bounus.,"I am looking to learn more about being effective in technology, the field I am passionate about.",elisakimmie,stgte,lsuna,LaurenMcGrath,,,10
